Título,Año,Directores,Metascore
La La Land,2016,Damien Chazelle,94
Arrival,2016,Denis Villeneuve,81
Moonlight,2016,Barry Jenkins,99
Your Name.,2016,Makoto Shinkai,81
Moana,2016,"John Musker, Ron Clements",81
Manchester by the Sea,2016,Kenneth Lonergan,96
The Handmaiden,2016,Park Chan-wook,85
Raw,2016,Julia Ducournau,81
The Love Witch,2016,Anna Biller,82
Hunt for the Wilderpeople,2016,Taika Waititi,81
20th Century Women,2016,Mike Mills,83
The Wailing,2016,Na Hong-jin,81
Hell or High Water,2016,David Mackenzie,88
Kubo and the Two Strings,2016,Travis Knight,84
Paterson,2016,Jim Jarmusch,90
My Life as a Zucchini,2016,Claude Barras,85
Jackie,2016,Pablo Larraín,81
Everybody Wants Some!!,2016,Richard Linklater,85
