Título,Año,Directores,Metascore
Parasite,2019,Bong Joon Ho,97
Knives Out,2019,Rian Johnson,82
Little Women,2019,Greta Gerwig,91
Once Upon a Time… in Hollywood,2019,Quentin Tarantino,84
Us,2019,Jordan Peele,81
The Lighthouse,2019,Robert Eggers,83
Uncut Gems,2019,"Benny Safdie, Josh Safdie",93
Portrait of a Lady on Fire,2019,Céline Sciamma,95
Marriage Story,2019,Noah Baumbach,94
Sound of Metal,2019,Darius Marder,82
Booksmart,2019,Olivia Wilde,84
The Irishman,2019,Martin Scorsese,94
Ford v Ferrari,2019,James Mangold,81
Toy Story 4,2019,Josh Cooley,84
The Farewell,2019,Lulu Wang,89
Saint Maud,2019,Rose Glass,83
Pain and Glory,2019,Pedro Almodóvar,87
The Last Black Man in San Francisco,2019,Joe Talbot,82
Bacurau,2019,"Juliano Dornelles, Kleber Mendonça Filho",82
