Título,Año,Directores,Metascore
Harry Potter and the Goblet of Fire,2005,Mike Newell,81
Mad Max: Fury Road,2015,George Miller,90
My Neighbor Totoro,1988,Hayao Miyazaki,87
Brokeback Mountain,2005,Ang Lee,87
The Lord of the Rings: The Two Towers,2002,Peter Jackson,87
Alien,1979,Ridley Scott,89
The Empire Strikes Back,1980,Irvin Kershner,82
The Lighthouse,2019,Robert Eggers,83
Anatomy of a Fall,2023,Justine Triet,86
Toy Story,1995,John Lasseter,96
Lost in Translation,2003,Sofia Coppola,91
Mulholland Drive,2001,David Lynch,87
12 Angry Men,1957,Sidney Lumet,97
The Incredibles,2004,Brad Bird,90
Spider-Man 2,2004,Sam Raimi,83
Moonlight,2016,Barry Jenkins,99
Finding Nemo,2003,Andrew Stanton,90
Uncut Gems,2019,"Josh Safdie, Benny Safdie",93
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,85
Schindler's List,1993,Steven Spielberg,95
Portrait of a Lady on Fire,2019,Céline Sciamma,95
The Nightmare Before Christmas,1993,Henry Selick,82
Kill Bill: Vol. 2,2004,Quentin Tarantino,83
Dunkirk,2017,Christopher Nolan,94
There Will Be Blood,2007,Paul Thomas Anderson,93
Jaws,1975,Steven Spielberg,87
Psycho,1960,Alfred Hitchcock,97
Corpse Bride,2005,"Tim Burton, Mike Johnson",83
Juno,2007,Jason Reitman,81
The Lion King,1994,"Roger Allers, Rob Minkoff",88
Reservoir Dogs,1992,Quentin Tarantino,81
A Quiet Place,2018,John Krasinski,82
The Departed,2006,Martin Scorsese,85
Blade Runner,1982,Ridley Scott,84
The Godfather Part II,1974,Francis Ford Coppola,90
The Witch,2015,Robert Eggers,84
The Wild Robot,2024,Chris Sanders,85
Fargo,1996,Joel Coen,88
Killers of the Flower Moon,2023,Martin Scorsese,89
In the Mood for Love,2000,Wong Kar-Wai,87
The Boy and the Heron,2023,Hayao Miyazaki,91
Grave of the Fireflies,1988,Isao Takahata,94
The Pianist,2002,Roman Polanski,85
Trainspotting,1996,Danny Boyle,83
Your Name.,2016,Makoto Shinkai,81
The Banshees of Inisherin,2022,Martin McDonagh,87
Saving Private Ryan,1998,Steven Spielberg,91
Flow,2024,Gints Zilbalodis,87
Marriage Story,2019,Noah Baumbach,94
Isle of Dogs,2018,Wes Anderson,82
Sentimental Value,2025,Joachim Trier,86
The Lobster,2015,Yorgos Lanthimos,82
The Worst Person in the World,2021,Joachim Trier,91
The Florida Project,2017,Sean Baker,92
A Real Pain,2024,Jesse Eisenberg,85
Manchester by the Sea,2016,Kenneth Lonergan,96
Memories of Murder,2003,Bong Joon Ho,82
Apocalypse Now,1979,Francis Ford Coppola,94
Ponyo,2008,Hayao Miyazaki,86
Moana,2016,"Ron Clements, John Musker",81
Toy Story 3,2010,Lee Unkrich,92
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Iñárritu,87
American Beauty,1999,Sam Mendes,84
Moonrise Kingdom,2012,Wes Anderson,84
The Zone of Interest,2023,Jonathan Glazer,92
Star Wars: The Last Jedi,2017,Rian Johnson,84
The Handmaiden,2016,Park Chan-wook,85
