Título,Año,Directores,Metascore
Whiplash,2014,Damien Chazelle,89
The Grand Budapest Hotel,2014,Wes Anderson,88
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro González Iñárritu,87
The Lego Movie,2014,"Phil Lord, Christopher Miller",83
It Follows,2014,David Robert Mitchell,83
Boyhood,2014,Richard Linklater,100
The Babadook,2014,Jennifer Kent,86
Inherent Vice,2014,Paul Thomas Anderson,81
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,81
Song of the Sea,2014,Tomm Moore,85
Goodnight Mommy,2014,"Severin Fiala, Veronika Franz",81
Force Majeure,2014,Ruben Östlund,87
