title,year,rating
Barbie,2023,3.78
Oppenheimer,2023,4.19
Saltburn,2023,3.40
Spider-Man: Across the Spider-Verse,2023,4.42
Poor Things,2023,3.98
Past Lives,2023,4.17
Anatomy of a Fall,2023,4.13
The Holdovers,2023,4.24
Guardians of the Galaxy Vol. 3,2023,3.96
Bottoms,2023,3.80
Anyone But You,2023,2.88
Killers of the Flower Moon,2023,4.05
The Hunger Games: The Ballad of Songbirds & Snakes,2023,3.58
Wonka,2023,3.21
The Boy and the Heron,2023,3.93
The Super Mario Bros. Movie,2023,3.24
Asteroid City,2023,3.49
Priscilla,2023,3.55
The Iron Claw,2023,4.10
The Zone of Interest,2023,3.86
No Hard Feelings,2023,3.01
Society of the Snow,2023,4.14
Five Nights at Freddy's,2023,2.56
All of Us Strangers,2023,3.93
Godzilla Minus One,2023,4.07
Late Night with the Devil,2023,3.37
Perfect Days,2023,4.29
John Wick: Chapter 4,2023,3.91
The Killer,2023,3.37
May December,2023,3.66
Elemental,2023,3.32
Scream VI,2023,3.37
Leave the World Behind,2023,2.84
Ant-Man and the Wasp: Quantumania,2023,2.21
Beau Is Afraid,2023,3.43
Evil Dead Rise,2023,3.15
Dungeons & Dragons: Honor Among Thieves,2023,3.51
Mission: Impossible – Dead Reckoning,2023,3.72
Hit Man,2023,3.34
American Fiction,2023,3.73
Cocaine Bear,2023,2.68
Napoleon,2023,2.91
The Little Mermaid,2023,3.14
Dream Scenario,2023,3.42
Woman of the Hour,2023,3.18
The Wonderful Story of Henry Sugar,2023,3.84
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,3.77
"Red, White & Royal Blue",2023,3.17
Indiana Jones and the Dial of Destiny,2023,2.91
The Flash,2023,2.52
Infinity Pool,2023,3.12
Air,2023,3.55
Monster,2023,4.32
Knock at the Cabin,2023,2.87
The Creator,2023,3.27
Maestro,2023,3.14
The Marvels,2023,2.56
Nimona,2023,3.95
When Evil Lurks,2023,3.54
Saw X,2023,3.23
The Bikeriders,2023,3.35
La Chimera,2023,4.07
"Are You There God? It's Me, Margaret.",2023,3.78
Totally Killer,2023,3.11
A Haunting in Venice,2023,3.01
Sing Sing,2023,4.28
Thanksgiving,2023,2.95
Theater Camp,2023,3.76
Renfield,2023,2.86
Taylor Swift: The Eras Tour,2023,4.31
Creed III,2023,3.44
BEEF,2023,4.23
