Título,Año,Directores,Metascore
Inside Out,2015,Pete Docter,94
Mad Max: Fury Road,2015,George Miller,90
The Witch,2015,Robert Eggers,84
The Lobster,2015,Yorgos Lanthimos,82
The Big Short,2015,Adam McKay,81
Carol,2015,Todd Haynes,94
Sicario,2015,Denis Villeneuve,82
Room,2015,Lenny Abrahamson,86
Spotlight,2015,Tom McCarthy,93
Creed,2015,Ryan Coogler,82
Tangerine,2015,Sean Baker,86
Brooklyn,2015,John Crowley,88
Steve Jobs,2015,Danny Boyle,82
Anomalisa,2015,"Charlie Kaufman, Duke Johnson",88
Bridge of Spies,2015,Steven Spielberg,81
Mustang,2015,Deniz Gamze Ergüven,83
The Second Mother,2015,Anna Muylaert,82
Amy,2015,Asif Kapadia,85
