Título,Año,Directores,Metascore
Get Out,2017,Jordan Peele,85
Lady Bird,2017,Greta Gerwig,93
Call Me by Your Name,2017,Luca Guadagnino,94
Baby Driver,2017,Edgar Wright,86
Coco,2017,Lee Unkrich,81
Blade Runner 2049,2017,Denis Villeneuve,81
Dunkirk,2017,Christopher Nolan,94
The Florida Project,2017,Sean Baker,92
Star Wars: The Last Jedi,2017,Rian Johnson,84
The Shape of Water,2017,Guillermo del Toro,87
Phantom Thread,2017,Paul Thomas Anderson,90
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,88
Paddington 2,2017,Paul King,88
War for the Planet of the Apes,2017,Matt Reeves,82
A Ghost Story,2017,David Lowery,84
First Reformed,2017,Paul Schrader,86
You Were Never Really Here,2017,Lynne Ramsay,84
Columbus,2017,Kogonada,89
The Death of Stalin,2017,Armando Iannucci,88
The Big Sick,2017,Michael Showalter,86
Revenge,2017,Coralie Fargeat,81
The Post,2017,Steven Spielberg,83
