Título,Año,Directores,Metascore
The Worst Person in the World,2021,Joachim Trier,91
Licorice Pizza,2021,Paul Thomas Anderson,90
The Green Knight,2021,David Lowery,85
Drive My Car,2021,Ryūsuke Hamaguchi,91
The Power of the Dog,2021,Jane Campion,89
West Side Story,2021,Steven Spielberg,85
The Mitchells vs. the Machines,2021,Mike Rianda,81
Judas and the Black Messiah,2021,Shaka King,84
Pig,2021,Michael Sarnoski,82
C’mon C’mon,2021,Mike Mills,82
The Lost Daughter,2021,Maggie Gyllenhaal,86
The Tragedy of Macbeth,2021,Joel Coen,87
The Fallout,2021,Megan Park,84
In the Heights,2021,Jon M. Chu,84
Petite Maman,2021,Céline Sciamma,93
