Título,Año,Directores,Metascore
Oppenheimer,2023,Christopher Nolan,90
Spider-Man: Across the Spider-Verse,2023,"Kemp Powers, Justin K. Thompson",86
Poor Things,2023,Yorgos Lanthimos,88
Past Lives,2023,Celine Song,94
Anatomy of a Fall,2023,Justine Triet,86
The Holdovers,2023,Alexander Payne,82
Killers of the Flower Moon,2023,Martin Scorsese,89
The Boy and the Heron,2023,Hayao Miyazaki,91
The Zone of Interest,2023,Jonathan Glazer,92
All of Us Strangers,2023,Andrew Haigh,90
Godzilla Minus One,2023,Takashi Yamazaki,81
Mission: Impossible – Dead Reckoning,2023,Christopher McQuarrie,81
May December,2023,Todd Haynes,86
Hit Man,2023,Richard Linklater,82
American Fiction,2023,Cord Jefferson,81
The Wonderful Story of Henry Sugar,2023,Wes Anderson,85
Sing Sing,2023,Greg Kwedar,83
La Chimera,2023,Alice Rohrwacher,91
"Are You There God? It’s Me, Margaret.",2023,Kelly Fremon Craig,84
Taylor Swift: The Eras Tour,2023,Sam Wrench,82
